chromosome	start	end	summit
chr2	1254580	1254879	1254786
chr2	1264530	1264819	1264796
chr2	1265950	1266549	1266366
chr2	1268320	1268429	1268376
chr2	1277240	1277769	1277476
chr2	1308880	1309019	1308946
chr2	1312240	1313039	1312966
chr2	1388980	1389359	1389136
chr2	1443040	1444249	1443686
chr2	1456240	1457269	1456686
chr2	1545070	1545669	1545206
chr2	1588780	1589389	1588926
chr2	1716850	1716989	1716946
chr2	1749950	1750309	1750146
chr2	1778280	1778809	1778606
chr2	1803990	1805549	1805006
chr2	1867660	1868559	1868156
chr2	1941190	1941529	1941436
chr2	1952500	1952899	1952756
chr2	2022060	2022989	2022666
chr2	2031590	2031919	2031716
chr2	2051370	2052309	2051896
chr2	2069520	2070049	2069756
chr2	2104110	2105029	2104566
chr2	2114130	2114559	2114286
chr2	2115180	2115339	2115276
chr2	2117170	2118189	2117366
chr2	2129050	2129209	2129146
chr2	2130420	2132899	2131996
chr2	2133530	2133729	2133656
chr2	2134720	2135929	2135606
chr2	2136160	2136339	2136246
chr2	2137140	2137509	2137436
chr2	2185280	2185999	2185806
chr2	2265440	2265499	2265466
chr2	2318670	2319249	2319016
chr2	2339390	2339659	2339586
chr2	2410370	2410839	2410816
chr2	2442780	2444199	2443026
chr2	2498620	2498779	2498726
chr2	2523220	2523679	2523496
chr2	2552520	2553249	2552896
chr2	2580570	2581489	2581066
chr2	2593340	2593779	2593776
chr2	2670450	2671529	2670826
chr2	2738170	2738839	2738366
chr2	2790320	2791259	2790686
chr2	2798510	2799399	2799006
chr2	2807200	2807419	2807316
chr2	2827540	2827919	2827766
chr2	2828850	2828999	2828856
chr2	2900370	2900709	2900706
chr2	2938710	2939629	2939116
chr2	2986270	2986849	2986646
chr2	3008140	3008449	3008316
chr2	3097100	3098169	3097836
chr2	3152740	3153149	3152836
chr2	3175550	3176339	3175936
chr2	3199390	3199839	3199636
chr2	3236030	3236219	3236156
chr2	3237520	3237969	3237806
chr2	3286620	3287549	3287236
chr2	3380350	3380439	3380356
chr2	3422240	3422849	3422356
chr2	3490850	3491709	3491236
chr2	3512880	3513299	3513026
chr2	3634650	3635249	3634876
chr2	3659530	3659589	3659576
chr2	3681290	3681489	3681386
chr2	3762060	3762569	3762556
chr2	3814750	3815329	3815186
chr2	3838620	3839469	3839066
chr2	3937930	3938669	3938386
chr2	4019330	4019779	4019376
chr2	4029540	4029869	4029866
chr2	4107020	4107689	4107356
chr2	4139440	4140029	4139766
chr2	4201980	4203019	4202466
chr2	4225960	4226159	4226066
chr2	4251780	4252079	4251786
chr2	4292020	4292749	4292266
chr2	4438630	4438989	4438886
chr2	4439990	4440569	4440336
chr2	4451510	4452379	4452056
chr2	4454050	4454389	4454236
chr2	4468140	4469219	4468966
chr2	4473560	4474049	4473976
chr2	4475250	4475489	4475346
chr2	4476900	4477419	4477186
chr2	4477610	4478179	4477936
chr2	4490340	4492209	4490766
chr2	4493990	4494389	4494106
chr2	4494540	4494809	4494696
chr2	4496940	4497259	4497146
chr2	4498460	4499799	4499476
chr3	24780	25299	25186
chr3	25760	25979	25896
chr3	34700	35689	35176
chr3	76070	76519	76316
chr3	123230	123599	123236
chr3	206560	207509	207026
chr3	231050	232369	231946
chr3	286530	286849	286546
chr3	369360	370459	369746
chr3	397690	398659	397926
chr3	505220	505819	505516
chr3	518190	519259	518946
chr3	565400	565499	565416
chr3	574610	575279	574836
chr3	604810	605309	605036
chr3	642830	643609	643056
chr3	666340	666629	666346
chr3	719460	720099	719896
chr3	763950	764169	764006
chr3	765550	765649	765556
chr3	820590	821119	820966
chr3	853440	853999	853776
chr3	936450	937089	936866
chr3	971320	972579	972056
chr3	985420	986239	985766
chr3	1039360	1039789	1039516
chr3	1193550	1193899	1193716
chr3	1252380	1253199	1252986
chr3	1322310	1323669	1322856
chr3	1370180	1370929	1370596
chr3	1396140	1396199	1396166
chr3	1409930	1410859	1410296
chr3	1416280	1417189	1416786
chr3	1447680	1448719	1448276
chr3	1510610	1510819	1510676
chr3	1531020	1531249	1531156
chr3	1575330	1576069	1575906
chr3	1593860	1595179	1594196
chr3	1608160	1609049	1608466
chr3	1683910	1684189	1684186
chr3	1689220	1689629	1689366
chr3	1718430	1719389	1718666
chr3	1721180	1721629	1721386
chr3	1722380	1722669	1722486
chr3	1723360	1724019	1723686
chr3	1753130	1754039	1753706
chr3	1821670	1822689	1822136
chr3	1843970	1844739	1844226
chr3	1866500	1867059	1866876
chr3	1928600	1929079	1928796
chr3	1967830	1968899	1968436
chr3	2034900	2035589	2035486
chr3	2059540	2059609	2059546
chr3	2066940	2067819	2067506
chr3	2106930	2107689	2107406
chr3	2200060	2201199	2200746
chr3	2275580	2276789	2276236
chr3	2308200	2308709	2308546
chr3	2381950	2382609	2382166
chr3	2438110	2438569	2438216
chr3	2438800	2439329	2438926
