chromosome	start	end	summit
chr1	5520530	5521229	5521086
chr1	5524680	5525039	5524906
chr1	5525910	5526909	5526316
chr1	5528650	5530209	5529026
chr1	5530920	5535159	5532626
chr1	5536240	5537839	5536706
chr1	5539550	5540569	5539916
chr1	5541600	5542069	5541666
chr1	5542540	5545719	5544966
chr1	5546460	5548939	5547736
chr1	5549990	5550059	5550016
chr1	5550210	5551189	5550666
chr2	41920	43759	43376
chr2	43980	44819	44526
chr2	46770	47099	46936
chr2	51570	51819	51676
chr2	52170	54339	53696
chr2	55620	55929	55766
chr2	66400	67109	66956
chr2	73730	73939	73836
chr2	74530	74929	74756
chr2	77560	77679	77636
chr2	78210	78389	78266
chr2	86010	86399	86316
chr2	86930	87039	86976
chr2	89330	90959	89986
chr2	91180	91579	91306
chr2	93050	93159	93106
chr2	93410	93599	93496
chr2	93980	94449	94306
chr2	96130	96349	96256
chr2	96740	97259	96946
chr2	98970	99149	99036
chr2	99330	100059	99856
chr2	101690	101829	101756
chr2	102180	102739	102616
chr2	103100	103289	103206
chr2	107310	107669	107376
chr2	108800	111279	110806
chr2	113120	113229	113176
chr2	113750	115909	114136
chr2	116280	116879	116746
chr2	117580	118239	117896
chr2	130090	130779	130566
chr2	131190	132109	131536
chr2	132380	132619	132496
chr2	140730	141779	141226
chr2	150400	151599	151336
chr2	200700	201429	201116
chr2	203370	203949	203546
chr2	227260	228109	227726
chr2	257910	258749	258156
chr2	277130	278029	277586
chr2	281060	281489	281226
chr2	314740	315549	315396
chr2	323550	323749	323646
chr2	325200	326779	325486
chr2	327210	327559	327316
chr2	331760	332699	332506
chr2	355400	355579	355496
chr2	365240	365349	365296
chr2	407880	409359	409046
chr2	453090	453929	453396
chr2	467300	467409	467346
chr2	519380	521029	519916
chr2	522060	522919	522546
chr2	528340	528659	528566
chr2	569200	570329	569826
chr2	602440	603579	602806
chr2	611750	612009	611876
chr2	636630	636749	636686
chr2	669480	669729	669606
chr2	673040	674709	674056
chr2	686260	686459	686356
chr2	722600	722829	722716
chr2	723070	723139	723106
chr2	744850	745979	745466
chr2	778640	778779	778716
chr2	823320	824259	823816
chr2	832830	833149	833026
chr2	836820	837819	837426
chr2	839850	839989	839916
chr2	841200	841799	841496
chr2	842660	842989	842816
chr2	846020	846219	846126
chr2	846900	847879	847526
chr2	889080	890669	889296
chr2	891390	891899	891526
chr2	914650	914919	914766
chr2	938370	938619	938486
chr2	947770	949389	948986
chr2	956830	957499	957056
chr2	962020	962109	962076
chr2	963640	964049	963826
chr2	1007180	1007729	1007536
chr2	1054940	1055139	1055056
chr2	1079400	1080169	1079776
chr2	1081100	1081209	1081166
chr2	1104700	1106349	1105406
chr2	1141260	1142129	1141706
chr2	1147140	1147759	1147456
chr2	1147990	1148139	1148076
chr2	1155770	1156269	1156006
chr2	1156400	1156749	1156586
chr2	1241290	1241599	1241496
chr2	1243200	1244429	1243916
chr2	1254680	1255319	1255026
chr2	1262080	1262199	1262146
chr2	1264350	1265379	1264926
chr2	1265860	1266869	1266366
chr2	1268260	1268439	1268356
chr2	1276810	1278069	1277476
chr2	1308840	1308899	1308896
chr2	1311830	1313089	1312226
chr2	1350920	1351259	1351116
chr2	1354070	1354219	1354146
chr2	1365700	1366029	1365806
chr2	1388750	1389429	1389156
chr2	1442870	1444199	1443376
chr2	1444630	1444699	1444666
chr2	1451180	1451359	1451266
chr2	1455990	1457299	1456446
chr2	1461240	1461549	1461346
chr2	1465540	1465619	1465616
chr2	1499700	1499859	1499766
chr2	1544890	1545879	1545606
chr2	1555480	1556319	1555896
chr2	1562260	1562399	1562286
chr2	1588460	1589519	1588966
chr2	1598730	1598939	1598856
chr2	1662700	1662879	1662796
chr2	1665140	1665909	1665436
chr2	1681190	1681719	1681386
chr2	1684580	1684709	1684586
chr2	1697280	1697359	1697296
chr2	1704090	1704149	1704126
chr2	1705900	1706539	1706076
chr2	1716890	1717339	1717036
chr2	1748490	1748819	1748786
chr2	1749710	1750699	1750136
chr2	1755470	1755559	1755526
chr2	1778080	1779089	1778386
chr2	1804760	1805739	1805316
chr2	1867430	1868709	1867796
chr2	1941160	1942089	1941526
chr2	1950470	1950539	1950536
chr2	1952030	1952169	1952096
chr2	1952360	1953149	1952796
chr2	1964180	1964239	1964206
chr2	1992700	1992759	1992736
chr2	2022160	2023689	2023086
chr2	2023900	2023979	2023946
chr2	2031700	2032049	2031826
chr2	2051640	2052409	2052026
chr2	2069390	2070119	2069776
chr2	2104010	2105119	2104776
chr2	2116950	2118189	2117476
chr2	2128720	2129499	2129126
chr2	2131290	2132449	2132176
chr2	2136780	2137599	2137416
chr2	2177260	2177319	2177286
chr2	2185310	2186749	2185786
chr2	2246280	2246469	2246346
chr2	2265140	2265829	2265406
chr2	2273680	2273919	2273816
chr2	2318310	2319449	2318716
chr2	2337870	2338289	2338106
chr2	2339280	2339849	2339536
chr2	2410320	2411159	2410916
chr2	2438530	2438729	2438626
chr2	2442510	2444429	2443166
chr2	2480680	2480779	2480776
chr2	2498010	2498319	2498126
chr2	2523150	2524039	2523576
chr2	2530840	2530949	2530906
chr2	2531820	2531959	2531866
chr2	2532840	2532919	2532886
chr2	2552380	2553329	2552876
chr2	2580510	2581609	2581056
chr2	2593410	2594149	2593686
chr2	2612550	2613029	2612856
chr2	2619240	2619809	2619556
chr2	2640520	2641359	2640836
chr2	2647090	2647869	2647476
chr2	2659980	2660229	2660126
chr2	2670840	2671059	2670936
chr2	2701470	2702079	2701636
chr2	2702850	2703149	2703036
chr2	2738060	2739319	2738846
chr2	2768300	2768599	2768426
chr2	2790320	2791249	2790806
chr2	2798490	2798759	2798616
chr2	2808920	2809029	2808976
chr2	2825040	2825579	2825196
chr2	2827270	2828149	2827706
chr2	2828430	2829139	2828676
chr2	2900270	2901329	2900786
chr2	2938600	2939479	2939166
chr2	2986200	2986809	2986606
chr2	3008270	3008539	3008426
chr2	3051690	3052309	3052046
chr2	3068850	3068959	3068896
chr2	3097000	3098539	3097836
chr2	3139580	3139739	3139656
chr2	3153140	3153229	3153186
chr2	3161270	3161869	3161546
chr2	3175300	3176579	3175946
chr2	3199350	3199939	3199606
chr2	3236280	3236349	3236286
chr2	3236740	3236799	3236756
chr2	3237270	3238089	3237596
chr2	3286840	3287629	3287456
chr2	3333020	3333379	3333226
chr2	3336960	3337329	3337146
chr2	3338170	3338579	3338416
chr2	3357540	3357659	3357586
chr2	3359010	3359069	3359046
chr2	3360940	3361229	3361116
chr2	3361440	3361589	3361516
chr2	3378540	3380609	3380286
chr2	3407760	3408169	3408036
chr2	3421610	3422579	3422126
chr2	3456750	3457109	3456946
chr2	3466160	3466519	3466386
chr2	3487610	3488169	3487896
chr2	3488500	3488999	3488736
chr2	3490780	3491769	3491236
chr2	3502090	3502169	3502136
chr2	3505540	3505839	3505686
chr2	3510360	3510609	3510496
chr2	3512670	3513409	3512936
chr2	3556340	3556929	3556536
chr2	3567540	3567599	3567596
chr2	3590510	3591059	3590686
chr2	3597260	3597449	3597356
chr2	3604750	3605909	3605376
chr2	3634360	3635359	3634876
chr2	3659440	3659979	3659586
chr2	3665490	3665809	3665716
chr2	3681030	3681669	3681156
chr2	3697890	3698169	3698076
chr2	3711450	3711509	3711456
chr2	3720130	3720819	3720506
chr2	3721020	3721279	3721126
chr2	3762120	3763099	3762626
chr2	3777280	3777719	3777406
chr2	3804920	3805649	3805196
chr2	3809010	3809109	3809106
chr2	3814510	3815479	3815126
chr2	3817810	3817919	3817876
chr2	3826660	3826779	3826736
chr2	3838500	3839479	3838956
chr2	3915700	3916349	3916076
chr2	3926460	3926609	3926526
chr2	3937700	3938789	3938316
chr2	3939230	3939349	3939296
chr2	3944470	3945079	3944616
chr2	3975210	3975479	3975356
chr2	3975960	3976079	3975996
chr2	4019040	4019649	4019336
chr2	4029800	4030359	4029936
chr2	4031020	4031889	4031396
chr2	4033140	4033649	4033386
chr2	4035720	4035799	4035756
chr2	4048050	4048269	4048196
chr2	4096620	4096789	4096696
chr2	4106720	4107799	4107256
chr2	4129090	4129649	4129446
chr2	4139670	4139979	4139786
chr2	4144370	4144609	4144476
chr2	4178010	4178249	4178146
chr2	4202440	4203229	4202746
chr2	4225850	4226419	4226116
chr2	4236340	4236939	4236566
chr2	4251490	4251989	4251736
chr2	4291840	4292739	4292266
chr2	4343520	4344169	4343856
chr2	4360130	4360459	4360326
chr2	4372600	4372859	4372716
chr2	4375280	4375619	4375496
chr2	4400160	4400249	4400206
chr2	4410950	4411099	4411036
chr2	4413450	4413519	4413486
chr2	4419450	4420459	4419986
chr2	4438970	4439039	4438996
chr2	4440080	4441179	4440576
chr2	4451590	4452199	4451756
chr2	4467790	4469049	4468466
chr2	4476800	4477029	4476936
chr2	4482280	4482439	4482366
chr2	4490260	4490329	4490306
chr2	4490510	4491469	4490636
chr2	4493950	4494239	4494096
chr2	4497020	4497299	4497146
chr2	4499270	4499879	4499476
chr3	34680	35489	35136
chr3	36070	36129	36106
chr3	36290	36369	36326
chr3	69390	69489	69426
chr3	76070	76949	76436
chr3	107580	107739	107656
chr3	120180	120919	120456
chr3	122630	124139	123296
chr3	206360	207729	207096
chr3	231220	232979	231966
chr3	253620	254329	253956
chr3	285100	285179	285146
chr3	285790	286979	286516
chr3	351080	351189	351136
chr3	369070	370599	369896
chr3	397490	398439	397656
chr3	454640	454939	454836
chr3	472520	473199	472756
chr3	486360	486469	486416
chr3	504970	505959	505466
chr3	518250	519369	518706
chr3	564930	565919	565386
chr3	567490	567659	567596
chr3	574590	575399	575226
chr3	583040	583139	583096
chr3	634070	634209	634106
chr3	642580	643609	643146
chr3	665780	666619	666266
chr3	719400	720869	719916
chr3	763510	764449	763966
chr3	765080	766129	765416
chr3	820570	821229	821006
chr3	826790	826949	826856
chr3	827180	827659	827386
chr3	853270	854529	853926
chr3	867850	867979	867866
chr3	936300	937149	936796
chr3	964060	964309	964196
chr3	966060	966369	966186
chr3	970420	971009	970866
chr3	971150	972589	971606
chr3	973700	973879	973796
chr3	985460	986329	985976
chr3	1039120	1039899	1039326
chr3	1168270	1168339	1168306
chr3	1193650	1193859	1193766
chr3	1207990	1208119	1208056
chr3	1216550	1216779	1216646
chr3	1252090	1253409	1252766
chr3	1322720	1323749	1323026
chr3	1341670	1342669	1342246
chr3	1342920	1343049	1342996
chr3	1369720	1369999	1369836
chr3	1370430	1371029	1370706
chr3	1395120	1396319	1395736
chr3	1403200	1403409	1403326
chr3	1409620	1410889	1410396
chr3	1416330	1417459	1416826
chr3	1447950	1448809	1448576
chr3	1510320	1511139	1510816
chr3	1523830	1524049	1523916
chr3	1525230	1525339	1525286
chr3	1529530	1529749	1529626
chr3	1530990	1531599	1531226
chr3	1575450	1576499	1575946
chr3	1593760	1595529	1594246
chr3	1607990	1609149	1608656
chr3	1611080	1611249	1611166
chr3	1671760	1672189	1671926
chr3	1674470	1674669	1674566
chr3	1679640	1679849	1679776
chr3	1683990	1684609	1684186
chr3	1689100	1689679	1689536
chr3	1702380	1702549	1702506
chr3	1717800	1717869	1717846
chr3	1718310	1719209	1718816
chr3	1722430	1722749	1722566
chr3	1723470	1723849	1723646
chr3	1727170	1727639	1727346
chr3	1743370	1743799	1743636
chr3	1753360	1754009	1753656
chr3	1821520	1822769	1822106
chr3	1822950	1823139	1823056
chr3	1836990	1837669	1837366
chr3	1843940	1844699	1844196
chr3	1858760	1858919	1858836
chr3	1866680	1867409	1866866
chr3	1928360	1929169	1928886
chr3	1936150	1936519	1936386
chr3	1967850	1969059	1968456
chr3	2034970	2035699	2035466
chr3	2041800	2041919	2041846
chr3	2044930	2045109	2045036
chr3	2045660	2045859	2045746
chr3	2063240	2063649	2063406
chr3	2066900	2068539	2067536
chr3	2069290	2069509	2069396
chr3	2106930	2107889	2107436
chr3	2200220	2201369	2200826
chr3	2242040	2242549	2242176
chr3	2256940	2257519	2257126
chr3	2275290	2276699	2276056
chr3	2299990	2300309	2300146
chr3	2308090	2309119	2308576
chr3	2309550	2309639	2309586
chr3	2336000	2336249	2336096
chr3	2336370	2336679	2336486
chr3	2380850	2380929	2380886
chr3	2381170	2381349	2381256
chr3	2381600	2382689	2382086
chr3	2420160	2420419	2420276
chr3	2428540	2428819	2428666
